zdate,pv,績效指標現值
2019-04-15,10000000.0,10000000.0
2019-04-16,10004804.507,10048038.888771499
2019-04-17,10005994.152999999,10111869.125595333
2019-04-18,9997862.203,10079456.662181113
2019-04-19,9995181.231999999,10085419.648374507
2019-04-22,9996918.089,10103086.992083196
2019-04-23,9998207.66,10137999.065094473
2019-04-24,9997236.013,10139797.75323751
2019-04-25,9999494.481,10151033.11183872
2019-04-26,9996515.895000001,10070679.682503195
2019-04-29,9989355.419000002,10058351.711047193
2019-04-30,9993036.940000001,10084713.573086265
2019-05-02,9993990.737000002,10118507.264071643
2019-05-03,9995576.417000001,10202932.222441547
2019-05-06,9986553.907000002,10019790.723407634
2019-05-07,9989880.895000001,10102561.30099268
2019-05-08,9988780.335,10044281.74362458
2019-05-09,9981926.117,9869540.994370468
2019-05-10,9978322.399,9850523.346095946
2019-05-13,9971745.631000001,9708282.675437804
2019-05-14,9971618.107,9672381.066256147
2019-05-15,9972148.251,9710498.824152723
2019-05-16,9967860.246,9631341.084356412
2019-05-17,9962086.472,9548122.123194162
2019-05-20,9959533.92,9561269.554291261
2019-05-21,9963562.658,9622038.41358798
2019-05-22,9962808.635,9615343.582935244
2019-05-23,9958944.951,9478751.514583033
2019-05-24,9962405.266999999,9497057.933735091
2019-05-27,9962170.827,9502438.536661543
2019-05-28,9962545.194,9482374.660040211
2019-05-29,9963114.678,9472690.605539445
2019-05-30,9965302.832999999,9547364.509563712
2019-05-31,9971671.145,9653615.955858441
2019-06-03,9964874.402999999,9655667.181878293
2019-06-04,9964353.45,9590419.640643755
2019-06-05,9965513.942,9620306.725289814
2019-06-06,9967754.535,9572102.913823254
2019-06-10,9967408.21,9716724.655891374
2019-06-11,9972892.276,9754692.952595549
2019-06-12,9976736.791000001,9762088.704702307
2019-06-13,9974585.760000002,9712215.050948229
2019-06-14,9973280.194000002,9679184.12742752
2019-06-17,9971081.488000002,9685054.344604941
2019-06-18,9972694.086000001,9719749.956578946
2019-06-19,9975551.691000002,9912822.894156223
2019-06-20,9981175.453000002,9935860.533122921
2019-06-21,9981270.697000002,9953141.339265054
2019-06-24,9982673.896000002,9995830.548115423
2019-06-25,9980652.656000001,9929263.625320375
2019-06-26,9976699.037,9891068.559910487
2019-06-27,9976264.721,10005782.601995667
2019-06-28,9975656.552000001,9966293.924196376
2019-07-01,9971949.335,10127794.473337414
2019-07-02,9975148.251,10120795.56646565
2019-07-03,9976530.432,10023393.253527928
2019-07-04,9979489.878,10072849.446710128
2019-07-05,9980738.396,10084229.112669516
2019-07-08,9980611.117,10066917.383522058
2019-07-09,9979610.176,10032381.540408896
2019-07-10,9978914.068000002,10124980.479852889
2019-07-11,9974676.175000003,10182703.423125152
2019-07-12,9975849.166000003,10167783.073056119
2019-07-15,9972993.080000004,10227588.165353557
2019-07-16,9973249.627000004,10249249.730583318
2019-07-17,9974226.704000004,10197056.851429906
2019-07-18,9971646.346000005,10173833.674431263
2019-07-19,9971883.240000004,10247600.503632681
2019-07-22,9972494.982000005,10321686.870555785
2019-07-23,9965097.683000004,10327201.473171974
2019-07-24,9966070.261000004,10322583.637710193
2019-07-25,9966903.716000004,10369828.836011697
2019-07-26,9968291.265000004,10324516.32554297
2019-07-29,9968154.664000005,10324701.863574916
2019-07-30,9970295.320000004,10273570.674270978
2019-07-31,9971446.484000005,10275853.822830765
2019-08-01,9970868.245000005,10196804.31355309
2019-08-02,9970007.113000005,10024253.943842793
2019-08-05,9965639.475000005,9905308.603862386
2019-08-06,9963478.321000006,9883451.192932239
2019-08-07,9963081.213000007,9876977.977150993
2019-08-08,9965668.640000006,9984291.113295192
2019-08-12,9966461.037000006,9978297.204096472
2019-08-13,9963433.752000006,9883250.19339763
2019-08-14,9962596.570000006,9950224.269096116
2019-08-15,9961243.718000006,9857037.792550959
2019-08-16,9965001.864000006,9946518.662291404
2019-08-19,9966331.444000006,10012173.356429383
2019-08-20,9966452.069000006,10046740.12254787
2019-08-21,9968160.520000005,10051950.648945037
2019-08-22,9968154.944000006,10056656.09958857
2019-08-23,9967836.591000006,10066736.999324333
2019-08-26,9961064.752000006,9899634.232385354
2019-08-27,9962468.102000006,9933798.999434626
2019-08-28,9962364.067000005,9980786.50602509
2019-08-29,9961738.353000006,10011137.435751015
2019-08-30,9965348.530000005,10160444.013125785
2019-09-02,9971778.038000004,10177317.666364482
2019-09-03,9967750.968000004,10104586.75784143
2019-09-04,9973633.921000004,10199664.6915456
2019-09-05,9971997.239000004,10296927.85095936
2019-09-06,9974205.013000004,10319877.874744305
2019-09-09,9978431.275000004,10339647.982815055
2019-09-10,9972774.781000003,10294119.01130906
2019-09-11,9971770.949000003,10329634.082924163
2019-09-12,9973498.884000003,10365241.92355524
2019-09-16,9972751.033000004,10435792.760202918
2019-09-17,9971187.756000003,10413213.812481865
2019-09-18,9976924.181000004,10465885.998217806
2019-09-19,9975197.539000003,10449197.883011056
2019-09-20,9978393.989000002,10482800.882130265
2019-09-23,9970314.867000002,10472580.828870542
2019-09-24,9979616.880000003,10471689.215550356
2019-09-25,9977864.245000003,10429257.69841102
2019-09-26,9980580.898000004,10427752.778818566
2019-09-27,9974623.269000003,10387176.641998699
2019-10-01,9971174.454000004,10519552.873958346
2019-10-02,9970144.546000004,10502277.221650433
2019-10-03,9968859.177000003,10433231.304595212
2019-10-04,9971811.001000002,10451042.955662081
2019-10-07,9970279.161000002,10489975.019365532
2019-10-08,9974963.495000003,10568875.067450806
2019-10-09,9973831.287000002,10446801.350098412
2019-10-14,9975348.408000002,10616594.418500617
2019-10-15,9974501.399000002,10659618.626575334
2019-10-16,9977784.337000001,10708574.897838121
2019-10-17,9981146.265,10731669.228981247
2019-10-18,9982277.026,10725283.628381753
2019-10-21,9984986.770000001,10729056.235031333
2019-10-22,9987650.619,10812610.195417935
2019-10-23,9988912.280000001,10782310.804034216
2019-10-24,9991915.000000002,10859510.086826647
2019-10-25,9991797.897000002,10836518.832367934
2019-10-28,9991808.570000002,10854825.251519995
2019-10-29,9989318.244000003,10872915.209634785
2019-10-30,9988671.478000002,10917444.337301958
2019-10-31,9985023.780000001,10896746.539071478
2019-11-01,9983314.788,10935910.525314862
2019-11-04,9987435.061,11087639.404773379
2019-11-05,9988911.446,11171275.82650751
2019-11-06,9987433.917000001,11179944.57566679
2019-11-07,9985297.863000002,11135322.678983644
2019-11-08,9986540.074000001,11109404.046687555
2019-11-11,9978879.833,10963323.769534964
2019-11-12,9980562.548,11052634.562746128
2019-11-13,9980293.828,11002224.910233093
2019-11-14,9978158.06,10985526.487357903
2019-11-15,9980780.790000001,11057649.243442906
2019-11-18,9978918.304000001,11128818.540197073
2019-11-19,9977946.001000002,11183139.952883648
2019-11-20,9980376.202000001,11158963.316554168
2019-11-21,9978716.431000002,11089000.017007653
2019-11-22,9981934.237000002,11097173.998081744
2019-11-25,9984199.504000003,11092169.625053406
2019-11-26,9980365.116000002,11106796.20657186
2019-11-27,9975835.297000002,11174641.280253652
2019-11-28,9967125.464000002,11145578.809082912
2019-11-29,9966011.628000002,11023247.400019482
2019-12-02,9968856.183000002,11035972.216710484
2019-12-03,9967946.563000003,11063555.53745987
2019-12-04,9966320.223000003,11043290.661303932
2019-12-05,9968157.759000003,11124056.397377111
2019-12-06,9965416.492000002,11138445.902521411
2019-12-09,9969192.684000002,11187494.942800172
2019-12-10,9970947.595000003,11155901.93902705
2019-12-11,9972185.496000003,11225875.546242004
2019-12-12,9971731.885000004,11356102.629331606
2019-12-13,9972726.863000004,11443712.657249926
2019-12-16,9976445.004000004,11455257.245904377
2019-12-17,9975749.054000005,11606120.28121381
2019-12-18,9972090.122000005,11630528.840083225
2019-12-19,9972515.162000004,11551773.099356132
2019-12-20,9976181.456000004,11494282.078623803
2019-12-23,9976196.651000004,11554978.78424143
2019-12-24,9976817.716000004,11510913.501654124
2019-12-25,9981416.136000004,11541424.200240891
2019-12-26,9981314.902000004,11534579.908395752
2019-12-27,9988260.593000004,11621648.783720894
2019-12-30,9991971.643000005,11584901.945727034
2019-12-31,9993999.092000004,11530858.840088379
2020-01-02,9996200.603000004,11630183.533190437
2020-01-03,10000283.471000005,11639754.203338346
2020-01-06,9992092.260000005,11488782.937510276
2020-01-07,9996809.281000005,11418582.561589606
2020-01-08,9997200.539000005,11357813.70229289
2020-01-09,9998776.140000004,11505378.28370105
2020-01-10,9996831.912000004,11557308.317309204
2020-01-13,10001568.543000003,11642619.735165076
2020-01-14,10006982.646000003,11706434.510486249
2020-01-15,10008915.983000003,11621916.783100372
2020-01-16,10010174.301000003,11597941.1463055
2020-01-17,10010215.388000002,11620396.402005255
2020-01-20,10010846.153000003,11647706.569540946
2020-01-30,9971082.708000002,10977826.659032121
2020-01-31,9967140.661000002,11048331.111171812
2020-02-03,9961184.622000001,10913604.73080751
2020-02-04,9965634.881000001,11106796.20657186
2020-02-05,9968104.381000001,11123803.859500295
2020-02-06,9972398.270000001,11293019.698469777
2020-02-07,9967254.451000001,11161468.079985445
2020-02-10,9964440.826000001,11124231.627740616
2020-02-11,9966497.931000002,11210712.965964595
2020-02-12,9969891.002000002,11316577.874692768
2020-02-13,9969344.664000003,11333482.450936787
2020-02-14,9970481.260000004,11356473.705395497
2020-02-17,9967337.535000004,11306311.436925057
2020-02-18,9970147.778000005,11196235.845638543
2020-02-19,9971563.950000005,11301822.447318796
2020-02-20,9974961.316000005,11269755.290797368
2020-02-21,9971207.098000005,11232523.992386756
2020-02-24,9967171.980000004,11086928.175650917
2020-02-25,9963231.457000004,11092076.856037436
2020-02-26,9965286.379000004,10989608.324060725
2020-02-27,9955589.609000005,10853650.177317668
2020-03-02,9949742.579000005,10736663.294341141
2020-03-03,9952474.092000006,10887814.944366938
2020-03-04,9951531.444000006,10949939.26206371
2020-03-05,9956021.227000006,11067657.989499578
2020-03-06,9954826.523000006,10882140.572889905
2020-03-09,9935212.477000006,10551336.569597635
2020-03-10,9933531.159000006,10576229.588883799
2020-03-11,9932020.039000006,10470699.679379975
2020-03-12,9909567.922000006,10017760.112724664
2020-03-13,9885464.251000006,9735706.22732635
2020-03-16,9872921.771000005,9340608.142130379
2020-03-17,9856029.352000006,9073258.145763833
2020-03-18,9849374.061000006,8860878.945195673
2020-03-19,9818051.948000006,8363951.403466366
2020-03-20,9835709.890000006,8896595.016345385
2020-03-23,9825470.681000005,8565105.553101758
2020-03-24,9838405.098000005,8946241.90139375
2020-03-25,9856532.471000005,9292239.407968754
2020-03-26,9863242.961000005,9380576.1265122
2020-03-27,9867368.489000006,9345030.131891772
2020-03-30,9864578.933000006,9278117.902203934
2020-03-31,9868951.294000005,9353961.72659631
2020-04-01,9877519.889000006,9311159.133393085
2020-04-06,9885110.958000006,9460610.018126035
2020-04-07,9902787.545000006,9631784.314099398
2020-04-08,9930085.535000006,9767886.768200638
2020-04-09,9939616.713000005,9752378.881030438
2020-04-10,9956758.207000006,9789166.949698063
2020-04-13,9956829.477000006,9732897.387676049
